,date,time,away team,home team
0,"Thursday, February 22, 2024",3:10 pm,Los Angeles Dodgers,San Diego Padres
1,"Friday, February 23, 2024",3:05 pm,Chicago White Sox,Chicago Cubs
2,"Friday, February 23, 2024",3:05 pm,San Diego Padres,Los Angeles Dodgers
3,"Friday, February 23, 2024",3:05 pm,Kansas City Royals,Texas Rangers
4,"Friday, February 23, 2024",3:10 pm,Arizona D'Backs,Colorado Rockies
5,"Saturday, February 24, 2024",1:05 pm,Boston Red Sox,Baltimore Orioles
6,"Saturday, February 24, 2024",1:05 pm,New York Yankees,Detroit Tigers
7,"Saturday, February 24, 2024",1:05 pm,Pittsburgh Pirates,Minnesota Twins
8,"Saturday, February 24, 2024",1:05 pm,Miami Marlins,St. Louis Cardinals
9,"Saturday, February 24, 2024",1:05 pm,Atlanta Braves,Tampa Bay Rays
10,"Saturday, February 24, 2024",1:07 pm,Philadelphia Phillies,Toronto Blue Jays
11,"Saturday, February 24, 2024",1:10 pm,St. Louis Cardinals,New York Mets
12,"Saturday, February 24, 2024",3:05 pm,Seattle Mariners,Chicago White Sox
13,"Saturday, February 24, 2024",3:05 pm,Cincinnati Reds,Cleveland Guardians
14,"Saturday, February 24, 2024",3:05 pm,Texas Rangers,Kansas City Royals
15,"Saturday, February 24, 2024",3:05 pm,Colorado Rockies,Oakland Athletics
16,"Saturday, February 24, 2024",3:05 pm,Chicago Cubs,San Francisco Giants
17,"Saturday, February 24, 2024",3:10 pm,Los Angeles Dodgers,Los Angeles Angels
18,"Saturday, February 24, 2024",3:10 pm,Colorado Rockies,Arizona D'Backs
19,"Saturday, February 24, 2024",3:10 pm,Milwaukee Brewers,San Diego Padres
20,"Saturday, February 24, 2024",6:05 pm,Houston Astros,Washington Nationals
21,"Sunday, February 25, 2024",1:05 pm,Detroit Tigers,Tampa Bay Rays
22,"Sunday, February 25, 2024",1:05 pm,Boston Red Sox,Atlanta Braves
23,"Sunday, February 25, 2024",1:05 pm,Minnesota Twins,Boston Red Sox
24,"Sunday, February 25, 2024",1:05 pm,Baltimore Orioles,Pittsburgh Pirates
25,"Sunday, February 25, 2024",1:05 pm,New York Yankees,Philadelphia Phillies
26,"Sunday, February 25, 2024",1:05 pm,St. Louis Cardinals,Houston Astros
27,"Sunday, February 25, 2024",1:05 pm,Toronto Blue Jays,New York Yankees
28,"Sunday, February 25, 2024",1:10 pm,Houston Astros,New York Mets
29,"Sunday, February 25, 2024",1:10 pm,Washington Nationals,Miami Marlins
30,"Sunday, February 25, 2024",3:05 pm,San Francisco Giants,Texas Rangers
31,"Sunday, February 25, 2024",3:05 pm,Oakland Athletics,Los Angeles Dodgers
32,"Sunday, February 25, 2024",3:05 pm,Los Angeles Angels,Cincinnati Reds
33,"Sunday, February 25, 2024",3:05 pm,San Diego Padres,Chicago Cubs
34,"Sunday, February 25, 2024",3:10 pm,Colorado Rockies,Milwaukee Brewers
35,"Sunday, February 25, 2024",3:10 pm,Cleveland Guardians,Seattle Mariners
36,"Sunday, February 25, 2024",3:10 pm,Chicago White Sox,Arizona D'Backs
37,"Sunday, February 25, 2024",3:10 pm,Kansas City Royals,Los Angeles Angels
38,"Monday, February 26, 2024",1:05 pm,Baltimore Orioles,Atlanta Braves
39,"Monday, February 26, 2024",1:05 pm,Tampa Bay Rays,Baltimore Orioles
40,"Monday, February 26, 2024",1:05 pm,Philadelphia Phillies,Boston Red Sox
41,"Monday, February 26, 2024",1:05 pm,Houston Astros,Detroit Tigers
42,"Monday, February 26, 2024",1:05 pm,Minnesota Twins,New York Yankees
43,"Monday, February 26, 2024",1:05 pm,New York Mets,Washington Nationals
44,"Monday, February 26, 2024",1:07 pm,Pittsburgh Pirates,Toronto Blue Jays
45,"Monday, February 26, 2024",1:10 pm,St. Louis Cardinals,Miami Marlins
46,"Monday, February 26, 2024",3:05 pm,Texas Rangers,Chicago White Sox
47,"Monday, February 26, 2024",3:05 pm,Seattle Mariners,Cincinnati Reds
48,"Monday, February 26, 2024",3:05 pm,Chicago Cubs,Kansas City Royals
49,"Monday, February 26, 2024",3:05 pm,Arizona D'Backs,Oakland Athletics
50,"Monday, February 26, 2024",3:05 pm,Los Angeles Angels,San Francisco Giants
51,"Monday, February 26, 2024",3:10 pm,Los Angeles Dodgers,Colorado Rockies
52,"Monday, February 26, 2024",3:10 pm,Cincinnati Reds,Milwaukee Brewers
53,"Monday, February 26, 2024",3:10 pm,Cleveland Guardians,San Diego Padres
54,"Tuesday, February 27, 2024",1:05 pm,Detroit Tigers,Baltimore Orioles
55,"Tuesday, February 27, 2024",1:05 pm,Toronto Blue Jays,Detroit Tigers
56,"Tuesday, February 27, 2024",1:05 pm,Washington Nationals,Houston Astros
57,"Tuesday, February 27, 2024",1:05 pm,Philadelphia Phillies,Minnesota Twins
58,"Tuesday, February 27, 2024",1:05 pm,Atlanta Braves,Pittsburgh Pirates
59,"Tuesday, February 27, 2024",1:05 pm,Boston Red Sox,St. Louis Cardinals
60,"Tuesday, February 27, 2024",1:05 pm,New York Yankees,Tampa Bay Rays
61,"Tuesday, February 27, 2024",1:10 pm,Miami Marlins,New York Mets
62,"Tuesday, February 27, 2024",3:05 pm,Cincinnati Reds,Chicago Cubs
63,"Tuesday, February 27, 2024",3:05 pm,Oakland Athletics,Cleveland Guardians
64,"Tuesday, February 27, 2024",3:05 pm,Colorado Rockies,Kansas City Royals
65,"Tuesday, February 27, 2024",3:05 pm,Chicago White Sox,Los Angeles Dodgers
66,"Tuesday, February 27, 2024",3:05 pm,Seattle Mariners,San Francisco Giants
67,"Tuesday, February 27, 2024",3:10 pm,Milwaukee Brewers,Los Angeles Angels
68,"Tuesday, February 27, 2024",3:10 pm,Texas Rangers,Arizona D'Backs
69,"Tuesday, February 27, 2024",3:10 pm,Kansas City Royals,San Diego Padres
70,"Wednesday, February 28, 2024",1:05 pm,Baltimore Orioles,Minnesota Twins
71,"Wednesday, February 28, 2024",1:05 pm,Atlanta Braves,Philadelphia Phillies
72,"Wednesday, February 28, 2024",1:05 pm,Detroit Tigers,Pittsburgh Pirates
73,"Wednesday, February 28, 2024",1:05 pm,Boston Red Sox,Washington Nationals
74,"Wednesday, February 28, 2024",1:07 pm,Tampa Bay Rays,Toronto Blue Jays
75,"Wednesday, February 28, 2024",1:10 pm,Houston Astros,Miami Marlins
76,"Wednesday, February 28, 2024",1:10 pm,St. Louis Cardinals,New York Mets
77,"Wednesday, February 28, 2024",3:05 pm,San Diego Padres,Chicago White Sox
78,"Wednesday, February 28, 2024",3:05 pm,Arizona D'Backs,Cleveland Guardians
79,"Wednesday, February 28, 2024",3:05 pm,San Francisco Giants,Oakland Athletics
80,"Wednesday, February 28, 2024",3:05 pm,Los Angeles Dodgers,Texas Rangers
81,"Wednesday, February 28, 2024",3:10 pm,Los Angeles Angels,Colorado Rockies
82,"Wednesday, February 28, 2024",3:10 pm,Chicago Cubs,Milwaukee Brewers
83,"Wednesday, February 28, 2024",3:10 pm,Kansas City Royals,Seattle Mariners
84,"Thursday, February 29, 2024",1:05 pm,Minnesota Twins,Atlanta Braves
85,"Thursday, February 29, 2024",1:05 pm,Pittsburgh Pirates,Baltimore Orioles
86,"Thursday, February 29, 2024",1:05 pm,Detroit Tigers,Boston Red Sox
87,"Thursday, February 29, 2024",1:05 pm,Washington Nationals,St. Louis Cardinals
88,"Thursday, February 29, 2024",1:05 pm,Atlanta Braves,Tampa Bay Rays
89,"Thursday, February 29, 2024",1:07 pm,Philadelphia Phillies,Toronto Blue Jays
90,"Thursday, February 29, 2024",3:05 pm,Kansas City Royals,Chicago White Sox
91,"Thursday, February 29, 2024",3:05 pm,Colorado Rockies,Chicago Cubs
92,"Thursday, February 29, 2024",3:05 pm,San Diego Padres,Oakland Athletics
93,"Thursday, February 29, 2024",3:05 pm,Milwaukee Brewers,Texas Rangers
94,"Thursday, February 29, 2024",3:10 pm,Cleveland Guardians,Los Angeles Angels
95,"Thursday, February 29, 2024",3:10 pm,San Francisco Giants,Arizona D'Backs
96,"Thursday, February 29, 2024",3:10 pm,Chicago White Sox,Seattle Mariners
97,"Thursday, February 29, 2024",6:05 pm,New York Mets,Houston Astros
98,"Thursday, February 29, 2024",6:35 pm,Miami Marlins,New York Yankees
99,"Thursday, February 29, 2024",8:05 pm,Los Angeles Dodgers,Cincinnati Reds
100,"Friday, March 1, 2024",1:05 pm,Baltimore Orioles,Atlanta Braves
101,"Friday, March 1, 2024",1:05 pm,Philadelphia Phillies,Detroit Tigers
102,"Friday, March 1, 2024",1:05 pm,Boston Red Sox,Minnesota Twins
103,"Friday, March 1, 2024",1:05 pm,Miami Marlins,Philadelphia Phillies
104,"Friday, March 1, 2024",1:05 pm,Tampa Bay Rays,Pittsburgh Pirates
105,"Friday, March 1, 2024",1:05 pm,New York Mets,St. Louis Cardinals
106,"Friday, March 1, 2024",1:05 pm,Houston Astros,Washington Nationals
107,"Friday, March 1, 2024",3:05 pm,Chicago White Sox,Chicago Cubs
108,"Friday, March 1, 2024",3:05 pm,Oakland Athletics,Kansas City Royals
109,"Friday, March 1, 2024",3:05 pm,Texas Rangers,San Francisco Giants
110,"Friday, March 1, 2024",3:10 pm,Seattle Mariners,Colorado Rockies
111,"Friday, March 1, 2024",3:10 pm,San Diego Padres,Milwaukee Brewers
112,"Friday, March 1, 2024",3:10 pm,Los Angeles Angels,San Diego Padres
113,"Friday, March 1, 2024",6:35 pm,Toronto Blue Jays,New York Yankees
114,"Friday, March 1, 2024",8:05 pm,Arizona D'Backs,Cincinnati Reds
115,"Friday, March 1, 2024",8:05 pm,Cleveland Guardians,Los Angeles Dodgers
116,"Saturday, March 2, 2024",1:05 pm,New York Yankees,Baltimore Orioles
117,"Saturday, March 2, 2024",1:05 pm,Washington Nationals,Boston Red Sox
118,"Saturday, March 2, 2024",1:05 pm,Pittsburgh Pirates,Detroit Tigers
119,"Saturday, March 2, 2024",1:05 pm,St. Louis Cardinals,Houston Astros
120,"Saturday, March 2, 2024",1:05 pm,Minnesota Twins,Philadelphia Phillies
121,"Saturday, March 2, 2024",1:05 pm,Boston Red Sox,Tampa Bay Rays
122,"Saturday, March 2, 2024",1:07 pm,Atlanta Braves,Toronto Blue Jays
123,"Saturday, March 2, 2024",1:10 pm,New York Mets,Miami Marlins
124,"Saturday, March 2, 2024",3:05 pm,Kansas City Royals,Cleveland Guardians
125,"Saturday, March 2, 2024",3:05 pm,Chicago Cubs,Los Angeles Dodgers
126,"Saturday, March 2, 2024",3:05 pm,San Diego Padres,San Francisco Giants
127,"Saturday, March 2, 2024",3:05 pm,Chicago White Sox,Texas Rangers
128,"Saturday, March 2, 2024",3:10 pm,Arizona D'Backs,Los Angeles Angels
129,"Saturday, March 2, 2024",3:10 pm,Cincinnati Reds,Colorado Rockies
130,"Saturday, March 2, 2024",3:10 pm,Los Angeles Dodgers,Milwaukee Brewers
