date,time,away team,home team,Latitude,Longitude
" February 22,  2024",3:10 pm,Los Angeles Dodgers,San Diego Padres,32.70729983,-117.1565998
" February 24,  2024",3:10 pm,Milwaukee Brewers,San Diego Padres,32.70729983,-117.1565998
" February 26,  2024",3:10 pm,Cleveland Guardians,San Diego Padres,32.70729983,-117.1565998
" February 27,  2024",3:10 pm,Kansas City Royals,San Diego Padres,32.70729983,-117.1565998
" March 1,  2024",3:10 pm,Los Angeles Angels,San Diego Padres,32.70729983,-117.1565998
" March 3,  2024",3:10 pm,Seattle Mariners,San Diego Padres,32.70729983,-117.1565998
" March 4,  2024",3:10 pm,Chicago Cubs,San Diego Padres,32.70729983,-117.1565998
" March 6,  2024",3:10 pm,Cincinnati Reds,San Diego Padres,32.70729983,-117.1565998
" March 8,  2024",8:40 pm,San Francisco Giants,San Diego Padres,32.70729983,-117.1565998
" March 9,  2024",3:10 pm,Chicago White Sox,San Diego Padres,32.70729983,-117.1565998
" March 12,  2024",4:10 pm,Arizona D'Backs,San Diego Padres,32.70729983,-117.1565998
" March 13,  2024",4:10 pm,Oakland Athletics,San Diego Padres,32.70729983,-117.1565998
" March 20,  2024",6:05 am,Los Angeles Dodgers,San Diego Padres,32.70729983,-117.1565998
" March 25,  2024",9:40 pm,Seattle Mariners,San Diego Padres,32.70729983,-117.1565998
" March 26,  2024",4:10 pm,Seattle Mariners,San Diego Padres,32.70729983,-117.1565998
" March 28,  2024",4:10 pm,San Francisco Giants,San Diego Padres,32.70729983,-117.1565998
" March 29,  2024",9:40 pm,San Francisco Giants,San Diego Padres,32.70729983,-117.1565998
" March 30,  2024",7:15 pm,San Francisco Giants,San Diego Padres,32.70729983,-117.1565998
" March 31,  2024",4:10 pm,San Francisco Giants,San Diego Padres,32.70729983,-117.1565998
" April 1,  2024",9:40 pm,St. Louis Cardinals,San Diego Padres,32.70729983,-117.1565998
" April 2,  2024",9:40 pm,St. Louis Cardinals,San Diego Padres,32.70729983,-117.1565998
" April 3,  2024",4:10 pm,St. Louis Cardinals,San Diego Padres,32.70729983,-117.1565998
" April 8,  2024",9:40 pm,Chicago Cubs,San Diego Padres,32.70729983,-117.1565998
" April 9,  2024",10:05 pm,Chicago Cubs,San Diego Padres,32.70729983,-117.1565998
" April 10,  2024",6:40 pm,Chicago Cubs,San Diego Padres,32.70729983,-117.1565998
" April 19,  2024",9:40 pm,Toronto Blue Jays,San Diego Padres,32.70729983,-117.1565998
" April 20,  2024",8:40 pm,Toronto Blue Jays,San Diego Padres,32.70729983,-117.1565998
" April 21,  2024",4:10 pm,Toronto Blue Jays,San Diego Padres,32.70729983,-117.1565998
" April 26,  2024",9:40 pm,Philadelphia Phillies,San Diego Padres,32.70729983,-117.1565998
" April 27,  2024",8:40 pm,Philadelphia Phillies,San Diego Padres,32.70729983,-117.1565998
" April 28,  2024",4:10 pm,Philadelphia Phillies,San Diego Padres,32.70729983,-117.1565998
" April 29,  2024",9:40 pm,Cincinnati Reds,San Diego Padres,32.70729983,-117.1565998
" April 30,  2024",9:40 pm,Cincinnati Reds,San Diego Padres,32.70729983,-117.1565998
" May 1,  2024",4:10 pm,Cincinnati Reds,San Diego Padres,32.70729983,-117.1565998
" May 10,  2024",9:40 pm,Los Angeles Dodgers,San Diego Padres,32.70729983,-117.1565998
" May 11,  2024",8:40 pm,Los Angeles Dodgers,San Diego Padres,32.70729983,-117.1565998
" May 12,  2024",4:10 pm,Los Angeles Dodgers,San Diego Padres,32.70729983,-117.1565998
" May 13,  2024",9:40 pm,Colorado Rockies,San Diego Padres,32.70729983,-117.1565998
" May 14,  2024",9:40 pm,Colorado Rockies,San Diego Padres,32.70729983,-117.1565998
" May 15,  2024",4:10 pm,Colorado Rockies,San Diego Padres,32.70729983,-117.1565998
" May 24,  2024",9:40 pm,New York Yankees,San Diego Padres,32.70729983,-117.1565998
" May 25,  2024",9:40 pm,New York Yankees,San Diego Padres,32.70729983,-117.1565998
" May 26,  2024",4:10 pm,New York Yankees,San Diego Padres,32.70729983,-117.1565998
" May 27,  2024",6:40 pm,Miami Marlins,San Diego Padres,32.70729983,-117.1565998
" May 28,  2024",9:40 pm,Miami Marlins,San Diego Padres,32.70729983,-117.1565998
" May 29,  2024",4:10 pm,Miami Marlins,San Diego Padres,32.70729983,-117.1565998
" June 6,  2024",9:40 pm,Arizona D'Backs,San Diego Padres,32.70729983,-117.1565998
" June 7,  2024",9:40 pm,Arizona D'Backs,San Diego Padres,32.70729983,-117.1565998
" June 8,  2024",8:40 pm,Arizona D'Backs,San Diego Padres,32.70729983,-117.1565998
" June 9,  2024",4:10 pm,Arizona D'Backs,San Diego Padres,32.70729983,-117.1565998
" June 10,  2024",9:40 pm,Oakland Athletics,San Diego Padres,32.70729983,-117.1565998
" June 11,  2024",9:40 pm,Oakland Athletics,San Diego Padres,32.70729983,-117.1565998
" June 12,  2024",4:10 pm,Oakland Athletics,San Diego Padres,32.70729983,-117.1565998
" June 20,  2024",9:40 pm,Milwaukee Brewers,San Diego Padres,32.70729983,-117.1565998
" June 21,  2024",9:40 pm,Milwaukee Brewers,San Diego Padres,32.70729983,-117.1565998
" June 22,  2024",7:15 pm,Milwaukee Brewers,San Diego Padres,32.70729983,-117.1565998
" June 23,  2024",4:10 pm,Milwaukee Brewers,San Diego Padres,32.70729983,-117.1565998
" June 24,  2024",9:40 pm,Washington Nationals,San Diego Padres,32.70729983,-117.1565998
" June 25,  2024",9:40 pm,Washington Nationals,San Diego Padres,32.70729983,-117.1565998
" June 26,  2024",4:10 pm,Washington Nationals,San Diego Padres,32.70729983,-117.1565998
" July 5,  2024",9:40 pm,Arizona D'Backs,San Diego Padres,32.70729983,-117.1565998
" July 6,  2024",9:40 pm,Arizona D'Backs,San Diego Padres,32.70729983,-117.1565998
" July 7,  2024",4:10 pm,Arizona D'Backs,San Diego Padres,32.70729983,-117.1565998
" July 9,  2024",9:40 pm,Seattle Mariners,San Diego Padres,32.70729983,-117.1565998
" July 10,  2024",6:40 pm,Seattle Mariners,San Diego Padres,32.70729983,-117.1565998
" July 12,  2024",9:40 pm,Atlanta Braves,San Diego Padres,32.70729983,-117.1565998
" July 13,  2024",7:15 pm,Atlanta Braves,San Diego Padres,32.70729983,-117.1565998
